"","code_module","code_presentation","id_student","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result"
"2037","BBB","2013B",551715,"F","Scotland","HE Qualification","80-90%","0-35",0,60,"N","Pass"
"18697","DDD","2014J",653768,"M","East Midlands Region","Lower Than A Level","70-80%","0-35",0,90,"N","Fail"
"11015","CCC","2014J",474628,"M","South West Region","HE Qualification","80-90%","0-35",0,30,"N","Pass"
"26503","FFF","2014B",491548,"M","South East Region","A Level or Equivalent","50-60%","0-35",1,60,"N","Fail"
"30906","GGG","2013J",609979,"F","South East Region","Lower Than A Level","40-50%","0-35",0,30,"N","Fail"
"24125","FFF","2013J",291745,"M","Scotland","A Level or Equivalent","60-70%","35-55",0,60,"N","Distinction"
"27900","FFF","2014J",348324,"M","South West Region","Lower Than A Level","30-40%","35-55",0,60,"N","Pass"
"25034","FFF","2013J",577764,"F","West Midlands Region","Lower Than A Level","80-90%","0-35",0,120,"N","Distinction"
"11416","CCC","2014J",572537,"M","West Midlands Region","A Level or Equivalent","90-100%","35-55",0,60,"N","Distinction"
"29503","FFF","2014J",684526,"M","East Anglian Region","Lower Than A Level","20-30%","0-35",0,120,"N","Withdrawn"
"1078","BBB","2013B",403191,"M","West Midlands Region","HE Qualification","20-30%","35-55",0,60,"N","Withdrawn"
"5015","BBB","2014B",439925,"F","London Region","Lower Than A Level","40-50%","0-35",0,60,"N","Withdrawn"
"22042","EEE","2014J",686339,"F","Wales","A Level or Equivalent","60-70%","0-35",0,60,"N","Withdrawn"
"22763","FFF","2013B",473081,"F","Scotland","Lower Than A Level","70-80%","35-55",0,120,"N","Withdrawn"
"1313","BBB","2013B",495913,"F","Wales","A Level or Equivalent","30-40%","0-35",1,120,"N","Withdrawn"
"185","AAA","2013J",386924,"M","Ireland","Lower Than A Level","","0-35",0,120,"N","Pass"
"24317","FFF","2013J",425218,"M","East Anglian Region","HE Qualification","90-100%","0-35",0,60,"N","Fail"
"413","AAA","2014J",121349,"F","South West Region","A Level or Equivalent","40-50%","35-55",1,60,"N","Pass"
"4723","BBB","2013J",2584834,"F","East Anglian Region","Lower Than A Level","50-60%","35-55",1,60,"Y","Pass"
"10762","CCC","2014J",293321,"M","West Midlands Region","A Level or Equivalent","20-30%","0-35",0,120,"N","Withdrawn"
"17717","DDD","2014J",324338,"M","London Region","A Level or Equivalent","40-50%","0-35",0,120,"N","Fail"
"15414","DDD","2013J",572620,"M","East Anglian Region","Lower Than A Level","40-50%","0-35",0,150,"N","Withdrawn"
"30925","GGG","2013J",611218,"F","South Region","A Level or Equivalent","80-90%","35-55",0,30,"N","Distinction"
"30571","GGG","2013J",590764,"F","East Anglian Region","Lower Than A Level","90-100%","35-55",0,30,"N","Distinction"
"4875","BBB","2014B",305307,"M","North Western Region","HE Qualification","0-10%","0-35",0,60,"N","Withdrawn"
"9753","CCC","2014B",599542,"M","Scotland","Lower Than A Level","10-20","0-35",0,90,"N","Fail"
"16948","DDD","2014B",609946,"M","West Midlands Region","Lower Than A Level","0-10%","0-35",0,60,"N","Withdrawn"
"8986","CCC","2014B",401296,"F","East Anglian Region","A Level or Equivalent","20-30%","35-55",0,60,"N","Pass"
"25991","FFF","2013J",1634278,"M","Yorkshire Region","Lower Than A Level","80-90%","35-55",0,60,"N","Pass"
"14745","DDD","2013J",391578,"M","East Anglian Region","Lower Than A Level","30-40%","35-55",0,60,"N","Fail"
"3799","BBB","2013J",584534,"F","London Region","Lower Than A Level","30-40%","35-55",0,120,"Y","Withdrawn"
"25946","FFF","2013J",610774,"M","South West Region","Lower Than A Level","0-10%","0-35",0,90,"N","Fail"
"4256","BBB","2013J",602652,"F","East Anglian Region","Lower Than A Level","80-90%","0-35",0,60,"N","Withdrawn"
"14804","DDD","2013J",422534,"M","West Midlands Region","Lower Than A Level","60-70%","0-35",0,60,"N","Fail"
"3581","BBB","2013J",574766,"F","West Midlands Region","A Level or Equivalent","0-10%","0-35",0,120,"N","Fail"
"11160","CCC","2014J",519684,"M","Scotland","HE Qualification","70-80%","0-35",0,30,"N","Withdrawn"
"19513","EEE","2013J",404050,"M","West Midlands Region","Lower Than A Level","20-30%","0-35",0,95,"N","Withdrawn"
"6601","BBB","2014J",417971,"F","Scotland","HE Qualification","60-70%","35-55",0,120,"Y","Withdrawn"
"4713","BBB","2013J",2557885,"F","West Midlands Region","HE Qualification","60-70%","0-35",0,60,"N","Withdrawn"
"24933","FFF","2013J",574070,"F","South East Region","Lower Than A Level","90-100%","0-35",0,60,"N","Pass"
"16663","DDD","2014B",523978,"F","South West Region","Lower Than A Level","60-70%","0-35",1,60,"N","Pass"
"20750","EEE","2014B",611971,"M","North Western Region","A Level or Equivalent","30-40%","0-35",0,30,"N","Withdrawn"
"31598","GGG","2014B",628369,"F","North Western Region","A Level or Equivalent","50-60%","0-35",0,30,"N","Pass"
"6790","BBB","2014J",551000,"F","Wales","A Level or Equivalent","40-50%","0-35",1,120,"N","Fail"
"6491","BBB","2014J",276925,"F","Wales","A Level or Equivalent","70-80%","35-55",1,60,"N","Pass"
"19585","EEE","2013J",484361,"M","Wales","No Formal quals","10-20","0-35",0,30,"N","Fail"
"18650","DDD","2014J",651267,"M","South West Region","A Level or Equivalent","10-20","0-35",0,120,"N","Fail"
"618","AAA","2014J",598070,"F","London Region","A Level or Equivalent","10-20","0-35",0,60,"N","Withdrawn"
"18289","DDD","2014J",611588,"M","East Anglian Region","A Level or Equivalent","70-80%","0-35",0,120,"N","Withdrawn"
"15034","DDD","2013J",507478,"M","West Midlands Region","Lower Than A Level","","0-35",1,90,"N","Fail"
"8529","BBB","2014J",2091096,"M","West Midlands Region","Lower Than A Level","30-40%","35-55",0,60,"N","Pass"
"31517","GGG","2014B",624938,"M","London Region","A Level or Equivalent","0-10%","0-35",0,30,"N","Pass"
"10266","CCC","2014B",632487,"F","North Region","A Level or Equivalent","20-30%","0-35",0,60,"N","Withdrawn"
"539","AAA","2014J",364957,"F","East Anglian Region","HE Qualification","70-80%","35-55",0,60,"N","Pass"
"29653","FFF","2014J",689533,"F","North Region","A Level or Equivalent","30-40%","0-35",0,120,"N","Withdrawn"
"32263","GGG","2014J",656111,"F","South West Region","Lower Than A Level","50-60%","0-35",0,30,"Y","Fail"
"25532","FFF","2013J",596406,"M","West Midlands Region","A Level or Equivalent","0-10%","0-35",0,120,"N","Fail"
"30453","GGG","2013J",585114,"F","East Anglian Region","A Level or Equivalent","50-60%","0-35",0,30,"Y","Pass"
"13978","DDD","2013B",549334,"M","North Region","Lower Than A Level","0-10%","0-35",0,60,"N","Withdrawn"
"3625","BBB","2013J",576940,"F","South Region","A Level or Equivalent","80-90%","35-55",0,60,"N","Pass"
"23252","FFF","2013B",540209,"M","Scotland","Lower Than A Level","60-70%","0-35",0,60,"Y","Pass"
"19846","EEE","2013J",574830,"F","Scotland","Lower Than A Level","90-100%","0-35",0,90,"N","Pass"
"22002","EEE","2014J",684064,"M","South West Region","A Level or Equivalent","80-90%","0-35",0,60,"N","Pass"
"15582","DDD","2013J",583215,"M","London Region","A Level or Equivalent","10-20","0-35",0,120,"N","Withdrawn"
"23199","FFF","2013B",536906,"F","South Region","A Level or Equivalent","60-70%","0-35",0,120,"N","Pass"
"23389","FFF","2013B",548057,"F","North Region","A Level or Equivalent","20-30%","0-35",0,60,"N","Fail"
"23185","FFF","2013B",536103,"M","Scotland","HE Qualification","60-70%","0-35",0,150,"N","Withdrawn"
"19392","EEE","2013J",140518,"M","West Midlands Region","Lower Than A Level","80-90%","0-35",0,60,"N","Fail"
"9637","CCC","2014B",588460,"M","East Anglian Region","Lower Than A Level","60-70%","35-55",0,90,"N","Withdrawn"
"13369","DDD","2013B",383643,"F","London Region","A Level or Equivalent","20-30%","35-55",0,60,"N","Fail"
"6804","BBB","2014J",557085,"F","Yorkshire Region","Lower Than A Level","20-30%","35-55",0,120,"N","Withdrawn"
"2211","BBB","2013B",557325,"F","East Anglian Region","A Level or Equivalent","90-100%","0-35",0,60,"N","Distinction"
